cod-archive	U+EA98	
cod-beaker	U+EA79	
cod-beaker_stop	U+EBE1	
cod-bug	U+EAAF	
cod-check	U+EAB2	
cod-check_all	U+EBB1	
cod-checklist	U+EAB3	
cod-circle_slash	U+EABD	
cod-comment	U+EA6B	
cod-comment_discussion	U+EAC7	
cod-comment_draft	U+EC0E	
cod-comment_unresolved	U+EC0A	
cod-debug	U+EAD8	
cod-debug_all	U+EBDC	
cod-debug_alt	U+EB91	
cod-debug_alt_small	U+EBA8	
cod-debug_breakpoint_conditional	U+EAA7	
cod-debug_breakpoint_conditional_unverified	U+EAA6	
cod-debug_breakpoint_data	U+EAA9	
cod-debug_breakpoint_data_unverified	U+EAA8	
cod-debug_breakpoint_function	U+EB88	
cod-debug_breakpoint_function_unverified	U+EB87	
cod-debug_breakpoint_log	U+EAAB	
cod-debug_breakpoint_log_unverified	U+EAAA	
cod-debug_breakpoint_unsupported	U+EB8C	
cod-debug_console	U+EB9B	
cod-debug_continue	U+EACF	
cod-debug_continue_small	U+EBE0	
cod-debug_coverage	U+EBDD	
cod-debug_disconnect	U+EAD0	
cod-debug_line_by_line	U+EBD0	
cod-debug_pause	U+EAD1	
cod-debug_rerun	U+EBC0	
cod-debug_restart	U+EAD2	
cod-debug_restart_frame	U+EB90	
cod-debug_reverse_continue	U+EB8E	
cod-debug_stackframe	U+EB8B	
cod-debug_stackframe_active	U+EB89	
cod-debug_start	U+EAD3	
cod-debug_step_back	U+EB8F	
cod-debug_step_into	U+EAD4	
cod-debug_step_out	U+EAD5	
cod-debug_step_over	U+EAD6	
cod-debug_stop	U+EAD7	
cod-diff	U+EAE1	
cod-diff_added	U+EADC	
cod-diff_ignored	U+EADD	
cod-diff_modified	U+EADE	
cod-diff_removed	U+EADF	
cod-diff_renamed	U+EAE0	
cod-eye	U+EA70	
cod-eye_closed	U+EAE7	
cod-flame	U+EAF2	
cod-git_commit	U+EAFC	
cod-git_compare	U+EAFD	
cod-git_fetch	U+EC1D	
cod-git_merge	U+EAFE	
cod-git_pull_request	U+EA64	
cod-git_pull_request_closed	U+EBDA	
cod-git_pull_request_create	U+EBBC	
cod-git_pull_request_draft	U+EBDB	
cod-git_pull_request_go_to_changes	U+EC0B	
cod-git_pull_request_new_changes	U+EC0C	
cod-github	U+EA84	
cod-github_action	U+EAFF	
cod-github_alt	U+EB00	
cod-github_inverted	U+EBA1	
cod-inbox	U+EB09	
cod-issue_draft	U+EBD9	
cod-merge	U+EBAB	
cod-milestone	U+EB20	
cod-open_preview	U+EB28	
cod-preview	U+EB2F	
cod-question	U+EB32	
cod-repo	U+EA62	
cod-repo_clone	U+EB3E	
cod-repo_force_push	U+EB3F	
cod-repo_forked	U+EA63	
cod-repo_pull	U+EB40	
cod-repo_push	U+EB41	
cod-report	U+EB42	
cod-rocket	U+EB44	
cod-shield	U+EB53	
cod-sparkle	U+EC10	
cod-tag	U+EA66	
cod-unverified	U+EB76	
cod-verified	U+EB77	
cod-verified_filled	U+EBE9	
dev-browserstack	U+E76B	
dev-datagrip	U+E7BD	
dev-digital_ocean	U+E7AE	
dev-digitalocean	U+E7AE	
dev-git	U+E702	
dev-git_branch	U+E725	
dev-git_commit	U+E729	
dev-git_compare	U+E728	
dev-git_merge	U+E727	
dev-git_pull_request	U+E726	
dev-gitbook	U+E7E8	
dev-github	U+E709	
